,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Saskylakh,0,RU,1570232760,87,71.97,114.09,-10.51,2.51
1,Rikitea,100,PF,1570232763,78,-23.12,-134.97,21.21,9.4
2,Ushuaia,40,AR,1570232763,89,-54.81,-68.31,3.0,12.9
3,Bethel,90,US,1570232336,81,60.79,-161.76,7.0,6.7
4,Punta Arenas,20,CL,1570232763,48,-53.16,-70.91,5.0,8.7
5,Busselton,65,AU,1570232764,98,-33.64,115.35,15.0,8.79
6,Streator,1,US,1570232764,67,41.12,-88.84,14.44,4.1
7,Ende,17,ID,1570232764,78,-8.84,121.65,25.5,2.85
8,Trelew,0,AR,1570232765,45,-43.25,-65.31,8.93,2.87
9,Vao,93,EE,1570232307,82,59.1,26.19,2.67,4.2
10,Puerto Ayora,75,EC,1570232765,73,-0.74,-90.35,22.0,8.7
11,Tasiilaq,100,GL,1570232766,65,65.61,-37.64,8.0,22.6
12,Ujhani,57,IN,1570232766,75,28.0,79.01,23.73,1.083
13,Richmond,90,CA,1570232766,81,49.16,-123.14,13.0,2.1
14,Lebu,75,ET,1570232767,87,8.96,38.73,15.0,1.5
15,Rongcheng,100,CN,1570232767,54,37.16,122.42,14.57,12.36
16,Nikolskoye,90,RU,1570232289,80,59.7,30.79,2.0,5.0
17,Ca Mau,77,VN,1570232767,84,9.18,105.15,26.52,1.06
18,Hilo,1,US,1570232030,55,19.71,-155.08,31.0,5.1
19,San Quintin,0,PH,1570232768,78,17.54,120.52,24.84,1.51
20,Torbay,20,CA,1570232390,74,47.66,-52.73,3.33,4.1
21,Yangjiang,0,CN,1570232768,82,21.85,111.96,25.05,0.904
22,Mataura,1,NZ,1570232769,64,-46.19,168.86,10.0,5.81
23,Albany,40,US,1570232717,53,42.65,-73.75,11.0,3.6
24,Grindavik,90,IS,1570232395,81,63.84,-22.43,10.0,19.5
25,Yulara,0,AU,1570232509,13,-25.24,130.99,26.0,2.6
26,Lavrentiya,89,RU,1570232769,77,65.58,-170.99,-2.0,7.32
27,Lloydminster,90,CA,1570232770,76,53.28,-110.01,9.0,4.1
28,Tuatapere,70,NZ,1570232311,63,-46.13,167.69,10.0,5.81
29,Olinda,43,AU,1570232299,71,-37.84,145.39,13.89,1.5
30,Severo-Kurilsk,100,RU,1570232081,81,50.68,156.12,4.05,5.15
31,Irituia,56,BR,1570232771,79,-1.77,-47.44,24.92,3.23
32,Comodoro Rivadavia,0,AR,1570232771,47,-45.87,-67.48,15.0,2.1
33,Qaqortoq,100,GL,1570232380,26,60.72,-46.03,13.0,18.0
34,Port Alfred,10,ZA,1570232304,88,-33.59,26.89,14.44,1.34
35,Aanekoski,90,FI,1570232772,85,62.6,25.73,0.0,4.1
36,Eydhafushi,87,MV,1570232772,74,5.1,73.07,27.49,2.7
37,Villa Maria,40,CO,1570232772,59,4.5,-74.09,27.0,4.1
38,Neiafu,75,TO,1570232773,83,-18.65,-173.98,24.0,4.6
39,Severobaykalsk,0,RU,1570232773,84,55.65,109.32,-4.75,2.75
40,Varzea Grande,75,BR,1570232773,100,-29.42,-50.86,21.11,1.0
41,Khatanga,99,RU,1570232773,83,71.98,102.47,-5.6,6.98
42,Hobart,20,AU,1570232703,53,-42.88,147.33,12.22,4.1
43,Carnarvon,0,ZA,1570232308,22,-30.97,22.13,11.4,1.78
44,Avarua,95,CK,1570232774,94,-21.21,-159.78,21.0,5.1
45,Bluff,0,AU,1570232774,40,-23.58,149.07,24.4,1.79
46,Altus,1,US,1570232775,54,34.64,-99.33,28.0,3.1
